ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3,1,1,0,0,3,2,1,0,0,1,1,1,0,0,0,1,1,0,1,3,0,1,0,0,0,1,0,2,0,3,1,1,0,0,0
1,2,1,0,1,0,0,3,1,2,0,1,1,1,1,0,0,0,1,1,0,1,3,0,1,0,0,0,1,0,2,1,3,1,1,0,0
2,4,1,1,0,1,0,0,3,1,3,1,1,1,1,0,0,0,0,1,1,0,1,3,0,1,0,0,0,1,0,0,1,3,1,1,0
3,1,5,1,1,0,2,1,0,3,1,3,1,1,1,1,0,0,0,0,1,1,0,1,3,0,1,0,0,0,1,1,0,1,3,1,1
4,1,0,5,1,1,1,2,0,0,3,1,3,1,0,1,1,0,0,0,0,1,1,0,1,3,0,1,0,0,0,1,1,0,1,3,1
5,4,0,0,5,1,1,1,2,0,0,3,1,3,1,0,1,1,0,0,0,0,1,1,0,1,3,0,1,0,0,0,1,1,0,1,3
6,0,4,1,0,5,1,1,1,2,0,1,3,1,3,1,0,1,1,0,0,0,0,1,1,1,1,3,0,1,0,0,0,1,1,1,1
7,0,0,3,0,0,5,1,3,1,2,0,1,3,1,3,1,0,1,1,0,0,0,0,1,1,1,1,3,0,1,0,0,0,1,1,1
8,1,0,0,3,0,0,5,1,2,1,2,0,1,3,1,2,0,0,1,1,1,0,0,0,1,1,1,1,3,1,1,0,0,0,1,1
9,4,0,0,0,3,0,0,5,1,2,1,2,0,1,3,1,1,1,0,1,1,1,0,0,0,1,1,0,1,3,1,1,0,0,0,1
10,1,3,0,0,0,3,0,0,4,1,2,1,2,0,1,3,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0
11,1,1,4,0,0,0,3,0,0,4,2,2,1,2,0,1,3,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1
12,4,1,1,4,0,0,0,3,0,0,6,2,2,1,2,0,1,3,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0
13,1,4,1,1,3,0,0,0,3,0,1,6,2,2,1,2,0,1,3,1,2,1,0,1,1,1,0,0,0,1,2,1,0,1,1,1
14,5,1,5,1,1,3,0,0,0,3,0,1,6,2,2,1,2,0,1,4,1,2,1,0,1,1,1,0,0,0,1,2,1,0,1,1
15,2,4,2,5,1,1,4,0,0,0,4,0,1,5,2,2,1,2,0,1,4,1,2,1,0,1,1,1,0,0,4,1,2,1,0,1
16,7,1,4,1,5,1,1,3,0,0,1,4,0,1,5,2,2,1,2,0,1,4,1,2,1,0,1,1,1,0,1,4,1,2,1,0
17,3,6,1,4,1,5,1,1,3,0,0,1,4,0,1,5,2,2,1,2,0,1,4,1,2,1,0,1,1,1,0,1,4,1,2,1
18,1,3,6,1,4,0,5,1,1,3,1,0,1,4,0,1,5,2,2,1,2,0,1,4,1,2,1,0,1,1,2,0,1,4,1,2
19,2,1,4,6,1,4,0,5,1,1,4,1,0,1,4,0,2,4,2,2,1,2,0,1,4,1,2,1,0,1,1,2,0,1,4,1
20,10,2,1,4,6,1,4,0,5,0,2,3,1,0,1,4,1,2,4,3,2,1,2,0,1,4,1,2,1,0,2,1,2,0,1,4
21,3,10,2,1,4,6,1,4,0,5,1,2,3,1,1,1,4,1,2,4,2,2,1,2,0,1,4,1,2,1,2,2,1,2,0,1
22,3,2,10,2,2,4,7,1,4,0,6,1,3,3,1,1,1,4,1,1,4,2,4,1,2,0,1,4,1,2,4,2,3,1,2,0
23,3,3,2,10,2,1,4,7,1,4,1,4,1,3,3,1,1,1,2,1,1,4,2,3,1,2,0,1,4,1,1,4,2,2,1,2
24,4,2,3,2,10,2,1,4,8,1,6,2,4,1,4,3,0,1,1,4,1,2,5,1,4,1,2,0,1,4,1,2,5,2,3,1
25,5,3,2,4,2,10,2,1,3,8,2,6,2,4,1,4,3,0,1,1,4,1,2,5,1,3,1,2,0,1,4,1,2,5,2,3
26,0,4,3,3,4,1,9,2,1,3,9,2,6,2,4,1,4,3,0,1,1,4,1,2,5,1,3,1,2,0,1,4,1,2,5,2
27,2,0,5,3,2,4,1,6,3,1,3,9,2,6,1,4,1,4,3,0,1,1,4,1,2,5,2,2,1,2,1,1,4,1,2,5
28,4,3,0,4,3,1,4,1,6,1,0,2,8,2,6,1,4,1,4,3,0,1,1,5,1,1,5,2,2,1,0,1,1,5,1,1
29,2,3,4,0,4,2,1,4,1,7,2,0,2,7,2,6,1,4,1,4,3,0,1,1,5,1,2,5,2,2,4,0,1,1,5,1
30,4,2,3,4,0,3,3,1,3,1,5,2,0,2,6,2,6,1,4,1,4,4,0,2,1,5,0,2,4,2,4,4,0,1,1,5
31,2,4,2,1,3,0,3,3,0,3,2,6,2,0,2,6,2,6,1,3,1,4,3,0,2,1,5,0,2,4,1,4,4,0,1,1
32,0,2,4,2,1,3,0,3,3,0,4,2,6,2,0,3,6,2,5,1,2,1,4,3,0,1,1,5,0,2,2,0,3,4,0,1
33,2,0,2,4,2,2,3,0,3,3,1,4,2,6,1,0,3,5,2,4,1,2,0,4,5,0,1,1,6,0,1,2,0,4,5,0
34,0,2,0,2,4,1,1,3,0,3,4,1,4,2,5,1,0,2,5,2,4,1,2,1,4,5,0,1,1,6,4,1,2,1,4,5
35,1,0,2,0,1,4,1,1,3,0,4,4,1,4,2,5,1,0,2,5,2,4,1,2,1,4,5,0,1,1,2,4,1,2,1,4
36,0,1,0,1,0,0,4,1,1,3,0,4,5,1,4,2,5,1,0,2,5,2,3,1,2,1,4,5,0,1,4,2,3,1,2,1
37,0,1,1,0,1,0,0,3,1,1,4,0,4,5,1,4,2,5,1,0,2,5,2,3,1,2,1,4,5,0,1,4,2,3,1,2
38,1,0,2,1,0,1,0,0,3,1,2,3,0,4,5,1,3,2,5,1,0,1,5,2,3,1,2,1,4,4,0,1,5,2,3,1
39,3,2,0,1,1,0,1,0,0,3,2,2,3,0,4,5,1,3,2,5,1,0,1,5,2,3,1,2,1,4,1,0,1,5,2,3
40,5,3,1,0,1,1,0,2,0,0,4,2,2,3,0,4,5,1,3,2,5,1,0,1,5,2,3,1,2,1,5,1,0,1,5,2
41,1,5,4,1,0,1,1,0,0,0,1,3,1,3,3,0,4,4,1,3,2,5,1,0,1,5,2,3,1,2,2,5,1,0,1,5
42,0,0,5,4,1,0,1,1,0,0,0,1,3,1,3,3,0,4,4,1,3,2,5,1,0,1,5,2,3,1,3,2,5,1,0,1
43,0,0,0,5,4,1,0,1,1,0,1,0,1,3,1,3,3,0,4,5,1,3,2,5,1,0,1,5,2,3,1,3,2,5,1,0
44,1,0,0,0,5,3,1,0,1,1,0,1,0,1,3,1,3,3,0,4,5,1,3,2,5,1,0,1,5,2,4,1,3,2,5,1
45,7,2,0,0,0,5,3,1,0,1,2,0,1,0,1,3,1,3,3,0,4,5,0,3,2,5,1,1,1,5,4,5,1,3,2,5
46,2,6,2,0,0,0,5,3,1,0,1,2,0,1,0,1,3,1,3,3,0,4,5,1,3,2,5,1,1,1,0,4,5,1,3,2
