ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,1,1,2,3,1,3,3,1,1,0,2,2,1,1,0,1,0,3,4,0,1,4,3,0,3,2,1,3,4,1,1,4,3,0,3,2
1,1,1,1,2,3,1,4,4,0,0,0,2,2,1,1,0,1,0,3,4,0,1,4,3,0,3,2,1,3,3,0,1,4,3,0,3
2,2,1,1,1,2,3,1,3,3,0,1,0,1,2,1,1,0,1,0,3,3,1,3,4,3,0,3,2,1,3,3,0,3,4,3,0
3,3,2,1,1,1,2,3,1,3,3,0,1,0,0,2,1,1,0,1,0,2,3,1,3,4,3,0,3,3,1,2,3,0,3,3,3
4,1,2,3,1,1,1,2,3,1,3,3,0,1,0,0,1,1,1,1,1,0,2,3,1,2,4,3,0,3,2,0,2,3,0,2,3
5,0,1,2,2,2,1,1,2,3,1,3,3,0,1,0,0,1,1,1,1,1,1,2,3,1,2,4,3,0,3,1,0,2,3,0,2
6,2,0,1,2,2,1,2,1,2,3,1,3,3,0,1,0,0,1,0,1,1,1,1,2,3,1,2,3,4,0,1,1,0,2,3,0
7,4,3,0,1,2,2,1,1,1,2,3,1,3,3,0,1,0,0,2,0,1,1,1,1,3,3,1,2,2,4,1,1,1,0,3,3
8,4,5,3,0,1,2,2,1,1,1,2,3,1,3,3,0,1,0,0,2,0,2,1,1,1,3,3,1,2,2,1,1,1,1,0,3
9,5,4,5,4,0,1,2,2,1,1,1,2,3,1,3,3,0,1,1,0,2,0,2,1,1,1,3,3,1,2,2,0,1,1,1,0
10,6,5,4,5,3,0,1,2,2,1,2,1,2,3,1,3,3,0,1,1,0,3,1,2,0,1,1,3,3,1,0,3,1,1,1,1
11,6,5,5,4,5,3,0,2,2,2,1,2,1,1,3,1,3,3,0,1,1,0,3,1,1,0,1,1,3,3,1,0,3,1,1,1
12,2,6,5,4,4,5,3,0,2,2,2,1,2,1,1,3,1,3,3,0,1,1,1,3,0,1,0,1,0,3,1,1,1,3,0,1
13,3,1,6,5,4,3,5,3,0,2,2,2,4,2,1,1,3,1,3,3,0,1,1,1,3,0,1,0,1,0,0,1,1,1,3,0
14,3,3,1,6,5,5,3,5,4,1,3,2,2,4,2,1,2,3,1,3,3,1,1,1,0,3,0,1,1,2,3,0,1,1,0,3
15,2,2,3,1,6,5,5,3,6,4,1,3,2,2,4,2,1,2,3,1,3,3,1,1,1,0,3,0,1,1,3,3,0,1,1,0
16,2,2,1,3,1,6,5,5,3,6,5,0,4,2,1,4,2,1,2,4,1,3,3,1,1,0,0,3,0,1,1,3,3,0,1,0
17,5,1,2,1,3,1,6,5,5,3,6,5,0,4,2,1,4,2,1,2,4,2,3,3,1,1,0,0,3,0,4,2,3,3,0,1
18,5,5,1,3,1,3,0,6,5,5,3,6,5,0,4,2,1,4,2,1,3,4,2,4,3,1,1,0,0,3,3,4,2,4,3,0
19,3,5,5,1,2,1,3,0,6,5,7,3,6,5,0,4,3,1,3,2,2,3,4,1,4,3,1,1,0,0,1,3,4,1,4,3
20,1,3,5,5,1,2,0,3,0,6,5,7,3,6,5,0,4,3,2,3,2,2,3,4,1,4,1,1,1,0,2,1,3,4,1,4
21,3,2,2,5,4,1,3,0,4,0,7,5,7,3,5,5,0,4,3,2,4,2,4,3,5,2,4,2,0,1,3,2,3,3,5,2
22,5,3,3,2,6,4,1,3,0,3,1,7,5,7,3,5,5,0,4,3,3,5,2,4,3,5,3,3,2,0,3,4,2,3,3,5
23,0,4,4,3,2,5,4,1,2,0,3,1,7,5,7,3,5,5,0,4,3,3,5,1,2,3,5,3,3,3,3,3,4,1,2,3
24,1,0,6,4,3,2,5,4,1,2,1,3,1,7,5,7,3,5,5,0,4,3,3,5,1,2,3,5,5,3,4,3,3,4,1,2
25,2,1,0,5,4,4,2,4,5,1,3,1,2,1,7,5,7,3,5,5,0,3,3,3,5,1,2,4,4,5,0,4,3,3,4,1
26,2,2,1,1,5,4,3,2,4,5,2,3,1,2,1,8,5,8,3,4,4,2,4,3,4,4,3,2,4,4,4,1,5,3,4,3
27,1,2,2,1,1,5,4,3,2,4,6,1,3,2,2,1,8,6,8,4,4,4,2,4,3,4,4,3,2,4,4,4,1,6,3,4
28,1,1,2,2,1,2,4,4,4,2,3,4,1,3,3,2,0,8,5,6,4,3,4,3,3,3,3,6,2,3,4,2,5,2,4,3
29,0,1,2,2,2,1,0,4,3,4,3,3,4,1,2,3,1,1,9,4,6,4,4,4,3,5,3,4,4,2,6,4,3,5,2,5
30,1,1,0,2,2,2,1,1,4,3,4,3,3,3,2,3,3,2,1,9,3,6,5,6,5,2,4,3,4,4,3,6,4,4,6,1
