ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,None,None,1,3,4,4,None,2,2,None,1,2,2,2,1,3,1,1,2,3,3,2,3,1,3,3,2,1,2,2,3,2,None,1,3,3
1,None,None,None,1,3,3,4,None,2,1,None,1,3,2,2,1,2,1,1,1,3,3,2,3,1,3,3,2,1,2,3,3,2,3,1,3
2,3,2,None,None,1,6,3,3,1,1,1,None,1,5,2,2,1,2,1,2,1,2,3,2,3,1,3,3,2,1,1,3,3,2,3,1
3,None,3,2,None,None,2,5,4,3,1,1,1,None,1,5,2,2,1,2,1,2,1,2,4,2,3,1,3,3,2,2,1,3,4,2,3
4,4,1,3,2,None,1,2,6,3,3,2,2,1,None,1,4,2,2,1,1,1,2,1,2,4,2,2,2,3,3,1,2,1,3,4,2
5,4,4,1,3,2,None,1,2,5,3,3,2,2,None,None,None,4,2,2,1,1,1,1,1,2,4,2,2,2,3,1,1,2,1,3,4
6,3,3,4,1,3,2,None,1,2,5,2,3,1,2,1,None,None,3,1,2,1,1,1,1,None,2,3,3,2,2,1,1,1,2,None,3
7,3,3,3,4,1,3,2,None,1,2,5,2,3,1,2,1,None,None,2,None,1,1,1,1,1,None,2,3,3,2,1,1,1,1,2,None
8,2,4,3,2,4,3,3,2,1,1,2,5,2,3,None,2,1,None,None,2,None,1,1,1,1,1,None,3,3,3,None,1,1,None,1,2
9,4,2,4,3,2,5,2,3,2,None,2,2,5,2,3,None,2,2,None,None,2,None,1,1,1,1,1,None,3,3,2,None,1,1,1,1
10,7,3,2,3,3,2,5,2,3,2,1,2,2,7,2,3,None,2,1,None,None,2,None,1,1,1,1,1,None,3,None,2,None,1,1,1
11,4,7,3,2,3,3,2,3,2,3,1,1,2,3,7,2,2,None,1,1,None,None,2,None,1,1,1,1,1,None,None,None,2,None,1,1
12,2,4,7,3,2,3,4,2,3,2,3,1,1,2,3,6,2,2,None,1,1,None,None,2,None,1,2,1,1,1,1,None,None,2,None,1
13,3,1,5,7,3,2,3,3,2,3,2,3,1,1,2,3,5,2,2,None,1,1,None,None,2,None,1,2,None,1,1,1,None,None,1,None
14,2,3,1,4,7,3,3,3,3,2,3,2,3,None,1,2,2,5,2,2,None,1,1,None,None,1,None,1,2,None,None,1,1,None,None,1
15,3,2,3,1,4,6,3,2,3,3,2,3,3,3,None,1,2,2,4,2,2,None,1,1,None,None,1,None,1,2,2,None,1,1,None,None
16,4,3,2,3,1,4,6,3,2,3,4,3,3,3,2,None,1,2,2,4,2,2,None,1,1,None,None,1,None,1,2,2,None,1,1,None
17,3,3,4,2,3,2,4,7,3,2,4,4,3,3,3,2,None,1,2,2,4,2,2,None,1,1,None,None,1,None,4,2,2,None,1,1
18,3,2,3,3,3,4,2,4,7,3,2,4,4,3,3,3,2,1,1,2,2,3,2,2,None,1,1,None,None,1,2,4,2,2,None,1
19,3,4,4,3,3,3,4,3,3,7,3,2,3,4,3,3,3,2,1,1,2,2,3,2,2,None,1,1,None,None,2,2,4,2,2,None
20,6,6,4,3,5,3,3,4,2,5,8,2,2,2,4,3,3,3,2,1,1,None,2,2,2,2,None,1,1,None,1,1,2,3,2,2
21,7,5,5,3,3,4,4,4,4,3,5,8,5,2,2,3,4,2,3,2,1,3,None,2,2,2,2,None,1,1,1,3,1,2,3,2
22,7,4,6,3,3,3,4,4,9,4,3,5,8,5,2,4,4,5,3,3,3,None,3,None,1,3,2,2,None,1,3,None,3,1,1,4
23,5,6,4,5,5,4,4,4,7,7,5,4,6,8,6,2,3,3,8,3,3,3,None,4,2,1,3,2,2,None,2,3,None,4,3,1
24,4,8,6,2,5,4,4,6,4,6,5,5,5,7,9,7,1,2,3,8,3,4,3,1,1,1,1,4,2,2,3,3,3,1,1,2
