ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,5,3,3,2,2,3,1,2,3,4,8,3,4,2,2,5,2,3,0,2,4,4,4,2,4,1,1,9,6,4,4,5,4,2,5,1
1,3,6,3,3,1,2,4,1,2,3,3,7,3,5,2,2,5,2,3,0,2,4,4,3,3,4,1,1,8,7,2,4,5,3,3,5
2,2,2,6,3,2,1,1,3,1,4,3,3,9,3,4,3,2,7,2,5,1,2,4,4,3,3,3,1,4,7,1,2,4,5,3,3
3,3,2,1,6,3,3,1,0,4,1,4,3,4,7,5,3,3,2,7,2,5,1,2,4,4,5,2,3,0,6,5,2,2,4,5,3
4,0,3,2,1,4,4,3,3,0,4,1,4,2,4,6,5,3,4,2,6,3,4,1,2,4,4,5,2,3,1,4,5,2,2,4,5
5,4,0,4,2,2,5,4,3,3,0,4,2,3,2,4,5,4,3,4,2,7,3,5,1,2,4,2,2,4,3,7,3,5,2,2,4
6,3,4,0,4,2,2,5,6,3,3,1,4,2,2,4,4,5,4,4,4,2,7,3,5,1,2,6,3,2,4,2,7,3,5,2,2
7,5,4,4,0,4,2,2,5,6,3,3,2,4,2,2,3,5,5,4,4,4,2,8,3,6,0,2,6,2,2,4,2,7,3,6,2
8,1,3,4,4,0,4,2,3,5,6,3,3,2,4,2,2,3,5,5,4,4,4,0,7,3,6,0,1,6,4,4,4,1,7,3,6
9,1,2,3,6,3,1,5,2,3,6,6,3,3,2,4,3,4,3,4,5,5,4,4,0,7,3,7,0,1,7,5,4,4,1,7,3
10,2,2,2,3,6,3,1,5,3,5,5,6,3,3,2,5,3,4,3,5,7,4,4,2,0,7,4,7,0,1,6,4,4,3,1,7
11,3,1,1,3,4,6,3,1,5,3,3,5,6,3,3,2,5,4,3,3,4,6,4,4,1,0,7,4,7,2,4,6,4,4,2,1
12,2,3,1,2,3,4,6,3,1,5,4,3,5,6,3,5,1,5,4,3,3,4,6,4,4,1,0,7,4,7,3,4,6,4,4,2
13,4,2,3,1,2,3,5,6,3,1,5,5,3,4,7,3,5,1,4,4,3,3,4,6,4,4,2,2,7,4,3,3,4,6,4,4
14,4,3,2,3,1,2,3,4,6,3,1,5,5,3,4,7,3,4,1,4,4,3,3,6,6,5,4,2,2,8,4,3,3,5,6,4
15,1,6,3,2,2,2,2,3,5,7,4,1,5,5,3,4,7,3,3,1,4,4,5,2,6,7,5,5,2,3,4,4,5,2,5,7
16,4,0,6,4,2,2,2,2,4,4,6,3,1,5,5,4,4,6,3,3,2,4,4,5,2,7,7,5,5,2,2,4,4,5,2,6
17,8,4,0,6,3,2,2,2,1,3,5,7,3,1,5,5,3,4,7,3,3,2,4,4,3,2,6,7,5,4,3,2,4,4,5,2
18,0,8,4,0,7,3,2,2,3,0,4,5,7,3,1,5,5,3,4,7,3,3,2,4,4,4,3,6,8,6,3,3,2,4,4,5
19,3,0,8,6,0,8,4,2,2,3,1,5,5,7,3,1,5,3,3,4,8,4,3,2,4,4,6,3,6,8,8,4,3,2,4,4
20,4,4,0,8,6,1,7,6,2,2,4,1,5,5,7,3,1,5,3,3,4,8,4,4,2,4,4,7,1,6,4,8,4,4,2,4
21,1,5,4,0,7,7,1,8,7,2,3,5,1,5,5,7,3,1,5,3,2,4,8,3,4,2,3,4,7,2,3,4,8,3,4,2
22,3,1,6,5,0,8,6,1,8,5,2,3,5,1,8,5,7,2,0,4,3,2,4,9,4,4,2,3,4,7,3,3,4,9,4,4
23,3,4,3,6,6,1,9,7,1,6,3,1,3,6,1,5,5,7,2,0,4,3,2,4,7,4,4,4,3,4,3,3,3,4,7,4
24,5,3,4,3,6,7,1,10,8,1,5,2,1,4,6,1,6,5,6,2,1,4,3,2,5,7,4,3,3,3,1,3,4,2,5,7
25,6,5,2,6,3,6,6,1,10,8,1,4,2,3,5,6,2,6,6,9,2,3,4,3,1,6,5,4,3,3,2,3,3,4,2,6
26,0,6,4,2,4,2,5,7,1,9,12,1,4,1,2,5,5,3,6,8,9,3,4,4,3,1,6,6,3,3,9,3,5,3,4,2
27,1,1,6,5,2,5,4,6,7,1,11,12,1,5,2,4,5,6,2,6,7,9,4,5,4,4,6,7,5,4,7,9,3,5,3,5
28,2,1,1,5,5,4,3,5,5,7,1,12,12,3,5,1,3,6,6,3,6,7,7,5,5,4,3,6,6,5,5,7,7,4,5,3
29,6,3,1,2,5,8,3,3,5,6,7,1,13,11,2,2,2,4,5,7,4,8,8,5,8,3,3,6,6,7,4,5,9,7,6,5
30,6,6,3,2,0,4,6,4,5,5,9,7,0,12,12,2,5,2,5,5,7,3,7,9,6,8,4,3,5,7,8,2,5,9,8,7
31,6,5,5,2,2,0,3,5,5,4,4,7,7,0,12,11,3,5,1,5,6,8,3,5,11,3,7,4,3,5,7,8,3,4,10,6
32,6,6,5,6,2,2,0,4,5,5,4,5,6,8,0,12,11,2,6,2,5,7,7,5,6,11,4,6,6,3,5,7,7,5,5,11
33,0,7,6,5,6,2,3,3,3,5,6,4,6,7,8,0,12,10,4,10,3,4,6,7,6,6,11,5,6,7,3,5,7,8,6,5
34,5,0,8,6,5,6,4,2,3,3,5,6,4,8,8,8,2,12,9,3,9,3,4,6,6,6,6,9,3,5,9,4,5,7,8,7
